Name	Radius	Mass	T_eff (Host Star)	Transit Duration
WASP-82 b	18.3254387066	394.204471057	6490	14604.5719654
WASP-83 b	11.4122492544	95.3720494492	5480	9792.66367
WASP-84 b	10.698983676	222.534782048	5280	9355.74326218
WASP-87 b	15.1980434783	693.036892664	6450	10292.4729616
WASP-88 b	18.6546382044	178.027825639	6431	17725.1509123
WASP-89 b	11.4122492544	1875.65030583	4955	7664.95399808
WASP-90 b	17.886506043	200.281303843	6430	15258.3805174
WASP-94 A b	18.8741045362	143.693887837	6170	11174.0934435
WASP-95 b	13.2777130749	359.234719592	5630	8012.41688505
WASP-96 b	13.167979909	152.595279119	5540	8783.12654305
WASP-97 b	12.3998477476	419.637017576	5640	7363.42957012
WASP-98 b	12.0706482499	263.862670143	5525	6437.32215147
WASP-99 b	12.0706482499	883.780991563	6180	15656.9980185
WTS-1 b	16.3502417203	1274.8063943	6250	9161.84557099
WTS-2 b	14.9566305133	356.055651277	5000	4573.97266318
XO-2N b	10.6770370429	189.790378404	5332	7954.2552758
